Mention;Class
Germany;LOCATION
German;NATIONAL
Poland;LOCATION
Poles;PERSON_TYPE
31 August;PERIOD
Germany;LOCATION
World War II;EVENT
Europe;LOCATION
1939 - 40;PERIOD
1 September 1939;PERIOD
Germany and Slovakia;LOCATION
German;NATIONAL
invaded Poland;EVENT
Poland;LOCATION
German;NATIONAL
3 September;PERIOD
France and Britain;LOCATION
Dominions of the British Commonwealth;LOCATION
Australia, Canada, New Zealand and South Africa;LOCATION
Germany;LOCATION
Poland;LOCATION
French attack into the Saarland;EVENT
Britain and France;LOCATION
Germany;LOCATION
3 September;PERIOD
Germany;LOCATION
U - boat;ARTIFACT
Allied;INSTITUTION
Battle of the Atlantic;EVENT
17 September 1939;PERIOD
Japan;LOCATION
Soviets;ORGANISATION
Poland;LOCATION
Polish army;INSTITUTION
Warsaw;LOCATION
Germans;PERSON_TYPE
27 September;PERIOD
6 October;PERIOD
Poland;LOCATION
Germany and the Soviet Union;LOCATION
Lithuania and Slovakia;LOCATION
Poles;PERSON_TYPE
Polish Underground State;ORGANISATION
Home Army;ORGANISATION
Allies;INSTITUTION
Europe and North Africa;LOCATION
100, 000;MEASURE
Polish;NATIONAL
Romania;LOCATION
Baltic;LOCATION
Germans;PERSON_TYPE
Poland;LOCATION
Enigma;ARTIFACT
France;LOCATION
Japan;LOCATION
first;MEASURE
Changsha;LOCATION
Chinese;NATIONAL
September;PERIOD
6 October;PERIOD
Hitler;PERSON
Britain and France;LOCATION
Poland;LOCATION
Germany and the Soviet Union;LOCATION
Chamberlain;PERSON
12 October;PERIOD
German Government;INSTITUTION
Hitler;PERSON
France;LOCATION
May of next year;PERIOD
December 1939;PERIOD
Britain;LOCATION
Germany;LOCATION
south Atlantic;LOCATION
Battle of the River Plate;EVENT
Poland;LOCATION
German - Soviet treaty;LEGAL
Lithuania;LOCATION
Soviet Union;LOCATION
Baltic;LOCATION
Soviet;NATIONAL
Finland;LOCATION
Soviet Union;LOCATION
November 1939;PERIOD
March 1940;PERIOD
Finnish;NATIONAL
France and the United Kingdom;LOCATION
Soviet;NATIONAL
Finland;LOCATION
Germans;PERSON_TYPE
Soviet;NATIONAL
USSR;LOCATION
League of Nations;INSTITUTION
Western Europe;LOCATION
British;NATIONAL
Continent;LOCATION
Phoney War;EVENT
British;NATIONAL
"" Sitzkrieg "" (sitting war) ;EVENT
Germans;PERSON_TYPE
April 1940;PERIOD
Soviet Union and Germany;LOCATION
February 1940;PERIOD
Soviets;ORGANISATION
German;NATIONAL
Germany;LOCATION
Allied;INSTITUTION
Western Europe;LOCATION
1940 - 41;PERIOD
April 1940;PERIOD
Germany;LOCATION
Denmark and Norway;LOCATION
Sweden;LOCATION
Allies;INSTITUTION
Norwegian;NATIONAL
Denmark;LOCATION
Allied;INSTITUTION
Norway;LOCATION
two months;PERIOD
British;NATIONAL
Norwegian;NATIONAL
British Prime Minister, Neville Chamberlain;PERSON
Winston Churchill;PERSON
10 May 1940;PERIOD
Germany;LOCATION
France;LOCATION
Belgium, the Netherlands, and Luxembourg;LOCATION
10 May 1940;PERIOD
Britain;LOCATION
Iceland;LOCATION
German;NATIONAL
Netherlands and Belgium;LOCATION
blitzkrieg;LOCATION
few days and weeks;PERIOD
French;NATIONAL
Maginot Line;LOCATION
Allied;INSTITUTION
Belgium;LOCATION
Ardennes;LOCATION
French;NATIONAL
Allied armies;INSTITUTION
British;NATIONAL
Dunkirk;LOCATION
June;PERIOD
10 June;PERIOD
Italy;LOCATION
France;LOCATION
France and Britain;LOCATION
Paris;LOCATION
14 June;PERIOD
eight days later;PERIOD
France;LOCATION
German and Italian;NATIONAL
Vichy Regime;EVENT
Germany;LOCATION
France;LOCATION
British;PERSON_TYPE
Germans;PERSON_TYPE
3 July;PERIOD
British;NATIONAL
June 1940;PERIOD
Soviet Union;LOCATION
Estonia, Latvia and Lithuania;LOCATION
Romanian region of Bessarabia;LOCATION
Nazi - Soviet;NATIONAL
19 July;PERIOD
Hitler;PERSON
British Empire;LOCATION
Britain;LOCATION
Lord Halifax;PERSON
Europe;LOCATION
Germany;LOCATION
Britain;LOCATION
Battle of Britain;EVENT
September;PERIOD
British;NATIONAL
Berlin;LOCATION
Germany;LOCATION
British;NATIONAL
the Blitz;EVENT
British;NATIONAL
French;NATIONAL
German Navy;INSTITUTION
Royal Navy;INSTITUTION
U - boats;ARTIFACT
British;NATIONAL
Atlantic;LOCATION
British;PERSON_TYPE
27 May 1941;PERIOD
German;NATIONAL
Bismarck;ARTIFACT
Battle of Britain;EVENT
Royal Air Force;INSTITUTION
Luftwaffe;INSTITUTION
German;NATIONAL
May 1941;PERIOD
United States;LOCATION
China;LOCATION
Western Allies;INSTITUTION
November 1939;PERIOD
American Neutrality Act;LEGAL
Allies;INSTITUTION
1940;PERIOD
German capture of Paris;EVENT
United States Navy;INSTITUTION
September;PERIOD
United States;LOCATION
American;NATIONAL
British;NATIONAL
American;NATIONAL
1941;PERIOD
Roosevelt;PERSON
United States;LOCATION
December 1940;PERIOD
Hitler;PERSON
US;LOCATION
the passage of Lend - Lease;CONCEPT
British;NATIONAL
January 1941;PERIOD
British;PERSON_TYPE
Germany;LOCATION
US;LOCATION
Italy;LOCATION
Germany;LOCATION
end of September 1940;PERIOD
Tripartite Pact;LEGAL
Japan, Italy and Germany;LOCATION
Axis Powers;INSTITUTION
Tripartite Pact;LEGAL
Soviet Union;LOCATION
Axis Power;INSTITUTION
three;MEASURE
Axis;INSTITUTION
November 1940;PERIOD
Hungary, Slovakia and Romania;LOCATION
Tripartite Pact;LEGAL
Romania;LOCATION
Axis;INSTITUTION
USSR;LOCATION
USSR;LOCATION
Ion Antonescu;PERSON
communism;CONCEPT
