Mention;Class
Shoah;EVENT
Final Solution to the Jewish Question;CONCEPT
Kershaw;PERSON
Auschwitz;INSTALLATION
Kershaw;PERSON
Bavarians;PERSON_TYPE
Germans;PERSON_TYPE
Shoah;EVENT
Israeli;NATIONAL
Otto Dov Kulka;PERSON
Nazi Germany;LOCATION
Canadian;NATIONAL
Michael Kater;PERSON
Kater;PERSON
Kershaw;PERSON
antisemitism;CONCEPT
antisemitic;CONCEPTUAL
Nazi Germany;LOCATION
Germans;PERSON_TYPE
antisemitism;CONCEPT
Nazis;PERSON_TYPE
Kulka;PERSON
Germans;PERSON_TYPE
antisemitic;CONCEPTUAL
Kershaw;PERSON
Popular Opinion and Political Dissent;CREATION
German;PERSON_TYPE
Jews;PERSON_TYPE
Germans;PERSON_TYPE
Nazi;PERSON_TYPE
German;NATIONAL
Christof Dipper;PERSON
1983;PERIOD
Der Deutsche Widerstand und die Juden;CREATION
English;CONCEPT
The German Resistance and the Jews;CREATION
Yad Vashem Studies, Volume 16, 1984;CREATION
anti-Nazi national-conservatives;PERSON_TYPE
antisemitic;CONCEPTUAL
Dipper;PERSON
national-conservatives;PERSON_TYPE
Jews;PERSON_TYPE
until 1938;PERIOD
Dipper;PERSON
German resistance;ORGANISATION
Holocaust;EVENT
national-conservatives;PERSON_TYPE
Jews;PERSON_TYPE
Hitler;PERSON
Dipper;PERSON
German;PERSON_TYPE
Jewish Question;CONCEPT
2012;PERIOD
Berlin;LOCATION
3,000;MEASURE
1,300;MEASURE
Hamburg;LOCATION
German;PERSON_TYPE
Robert Gellately;PERSON
German;PERSON_TYPE
Gellately;PERSON
government;INSTITUTION
Holocaust;EVENT
Holocaust;EVENT
1965;PERIOD
Command and Compliance;CREATION
Frankfurt Auschwitz Trials;EVENT
German;NATIONAL
Hans Buchheim;PERSON
Jews;PERSON_TYPE
Buchheim;PERSON
SS;INSTITUTION
SS;INSTITUTION
Himmler;PERSON
National Socialists;PERSON_TYPE
1992;PERIOD
Ordinary Men;CREATION
Holocaust;EVENT
Christopher Browning;PERSON
German Reserve Police Battalion 101 of the Ordnungspolizei (Order Police);ORGANISATION
Jews;PERSON_TYPE
Nazi;PERSON_TYPE
Hamburg;LOCATION
commander;TITLE
1,500;MEASURE
Jews from Józefów;PERSON_TYPE
12;MEASURE
500;MEASURE
Milgram;PERSON
Browning;PERSON
Russian;NATIONAL
Sergei Kudryashov;PERSON
Browning;PERSON
Trawniki SS camp division;INSTALLATION
Trawniki;PERSON_TYPE
Operation Reinhard;EVENT
Battalion 101;ORGANISATION
Red Army;INSTITUTION
SS;INSTITUTION
POW;PERSON_TYPE
Christopher R. Browning;PERSON
Hiwis;PERSON_TYPE
anti-Communist;CONCEPTUAL
anti-Semitic;CONCEPTUAL
Ukraine;LOCATION
Latvia and Lithuania;LOCATION
Hilfswillige, or Hiwis;PERSON_TYPE
Kudryashov;PERSON
Communists;PERSON_TYPE
SS;INSTITUTION
Jews;PERSON_TYPE
Trawniki;PERSON_TYPE
Operation Reinhard;EVENT
Jews;PERSON_TYPE
Christopher Browning;PERSON
Kudryashov;PERSON
Trawniki;PERSON_TYPE
Trawniki;PERSON_TYPE
Final Solution;CONCEPT
Jews;PERSON_TYPE
Belzec, Sobibór, Treblinka II;INSTALLATION
Warsaw;LOCATION
three;MEASURE
Częstochowa, Lublin, Lvov, Radom, Kraków, Białystok;LOCATION
twice;MEASURE
Majdanek;INSTALLATION
Auschwitz;INSTALLATION
Trawniki;INSTALLATION
KL Lublin/Majdanek camp;INSTALLATION
Poniatowa, Budzyń, Kraśnik, Puławy, Lipowa;INSTALLATION
Łomazy, Międzyrzec, Łuków, Radzyń, Parczew, Końskowola, Komarówka;LOCATION
1942;PERIOD
Auschwitz;INSTALLATION
five;MEASURE
Reinhard plan;UNKNOWN
Two;MEASURE
Chełmno;INSTALLATION
Majdanek;INSTALLATION
POW;PERSON_TYPE
Three;MEASURE
Jews;PERSON_TYPE
Belzec, Sobibór and Treblinka;INSTALLATION
Auschwitz;INSTALLATION
seventh;MEASURE
Maly Trostinets;INSTALLATION
Belarus;LOCATION
Jasenovac;INSTALLATION
Serbs;PERSON_TYPE
Dachau and Belsen;INSTALLATION
Germany;LOCATION
Nazi regime;INSTITUTION
Communists and homosexuals;PERSON_TYPE
German;NATIONAL
Nazi;PERSON_TYPE
Jews;PERSON_TYPE
one;MEASURE
five;MEASURE
heart of Europe;LOCATION
couple of hours;PERIOD
ninety percent;MEASURE
Rudolf Vrba;PERSON
Judenrampe;INSTALLATION
Auschwitz;INSTALLATION
from 18 August 1942 to 7 June 1943;PERIOD
Mauthausen-Gusen concentration camp;INSTALLATION
pre-war Austria;LOCATION
Nazis;PERSON_TYPE
Auschwitz–Birkenau;INSTALLATION
American;NATIONAL
13 September 1944;PERIOD
Rudolf Höss, commandant of Auschwitz;PERSON
bunker 1;INSTALLATION
800;MEASURE
bunker 2;INSTALLATION
1,200;MEASURE
Zyklon-B;ARTIFACT
HCN;SUBSTANCE
hydrogen cyanide;SUBSTANCE
20 minutes;PERIOD
Höß;PERSON
one-third;MEASURE
Johann Kremer, an SS doctor;PERSON
four hours;PERIOD
gold;SUBSTANCE
Sonderkommando;ORGANISATION
Jewish;PERSON_TYPE
crematoria 1 and 2;INSTALLATION
Sonderkommando;ORGANISATION
crematoria 3 and 4;INSTALLATION
Sonderkommando;ORGANISATION
SS;INSTITUTION
gold;SUBSTANCE
gold;SUBSTANCE
Sonderkommando;ORGANISATION
between September and November 1942;PERIOD
Himmler;PERSON
early 1943;PERIOD
Treblinka;INSTALLATION
2,000;MEASURE
Treblinka;INSTALLATION
10;MEASURE
200;MEASURE
two;MEASURE
SS doctors;TITLE
Auschwitz;INSTALLATION
doctors;TITLE
Treblinka;INSTALLATION
Treblinka;INSTALLATION
Auschwitz;INSTALLATION
Auschwitz;INSTALLATION
Rudolf Höss, Auschwitz camp commandant;PERSON
Nuremberg;LOCATION
Jewish resistance;ORGANISATION
Jews;PERSON_TYPE
Germans;PERSON_TYPE
Warsaw Ghetto uprising;EVENT
Jurgen Stroop;PERSON
Heinrich Himmler;PERSON
Warsaw Ghetto uprising;EVENT
Jewish resistance;ORGANISATION
Holocaust;EVENT
Peter Longerich;PERSON
Polish;NATIONAL
Jewish;PERSON_TYPE
Hilberg;PERSON
Jewish;PERSON_TYPE
centuries;PERIOD
Jews;PERSON_TYPE
Jewish;PERSON_TYPE
Jews;PERSON_TYPE
earth;LOCATION
The Destruction of the European Jews;CREATION
Raul Hilberg;PERSON
Jews;PERSON_TYPE
German;NATIONAL
Jewish resistance;ORGANISATION
European;NATIONAL
Jews;PERSON_TYPE
German;NATIONAL
Jewish;PERSON_TYPE
Jewish;PERSON_TYPE
Jewish resistance;ORGANISATION
Franz Stangl;PERSON
two;MEASURE
West German;NATIONAL
Jewish;PERSON_TYPE
Treblinka;INSTALLATION
Jewish resistance;ORGANISATION
Fareynikte Partizaner Organizatsye;ORGANISATION
Vilnius Ghetto;LOCATION
FPO;ORGANISATION
Warsaw;LOCATION
Timothy Snyder;PERSON
three months;PERIOD
massive deportations of July–September 1942;EVENT
Jewish;PERSON_TYPE
Jewish;PERSON_TYPE
pre-war Polish government;INSTITUTION
Warsaw Ghetto Uprising of spring 1943;EVENT
Polish Jews;PERSON_TYPE
Yehuda Bauer;PERSON
Jews;PERSON_TYPE
Germans;PERSON_TYPE
Jewish resistance;ORGANISATION
Warsaw Ghetto;LOCATION
1943;PERIOD
Hilberg;PERSON
Jewish resistance;ORGANISATION
Gilbert;PERSON
German;NATIONAL
Jews;PERSON_TYPE
heroism;CONCEPT
European Jewish;NATIONAL
Jewish;PERSON_TYPE
Jewish;PERSON_TYPE
Warsaw Ghetto Uprising of January 1943;EVENT
Jewish;PERSON_TYPE
SS;INSTITUTION
four weeks;PERIOD
Jewish;PERSON_TYPE
several hundred;MEASURE
Germans;PERSON_TYPE
Germans;PERSON_TYPE
17;MEASURE
93;MEASURE
13,000;MEASURE
Jews;PERSON_TYPE
57,885;MEASURE
German;NATIONAL
uprising;EVENT
revolt in the Treblinka extermination camp in May 1943;EVENT
200;MEASURE
German;PERSON_TYPE
900;MEASURE
600;MEASURE
40;MEASURE
Two weeks later;PERIOD
uprising in the Białystok Ghetto;EVENT
16 August 1943;PERIOD
Nazi-occupied Poland;LOCATION
Warsaw Ghetto Uprising of April–May 1943;EVENT
German;NATIONAL
Ghetto;LOCATION
300 to 500;MEASURE
Jewish;PERSON_TYPE
25;MEASURE
100;MEASURE
Molotov cocktails;ARTIFACT
German;NATIONAL
September;PERIOD
uprising in the Vilna Ghetto;EVENT
Jewish resistance group Fareynikte Partizaner Organizatsye (United Partisan Organization);ORGANISATION
Nazi;PERSON_TYPE
World War II;EVENT
German;NATIONAL
Nazis;PERSON_TYPE
September 1943;PERIOD
FPO;ORGANISATION
partisans;PERSON_TYPE
October;PERIOD
600;MEASURE
Jewish;PERSON_TYPE
Jewish Soviet prisoners of war;PERSON_TYPE
Sobibór death camp;INSTALLATION
11;MEASURE
German SS officers;TITLE
Three hundred;MEASURE
60;MEASURE
Soviet partisans;PERSON_TYPE
7 October 1944;PERIOD
250;MEASURE
Jewish Sonderkommandos;PERSON_TYPE
Auschwitz;INSTALLATION
Crematorium IV;INSTALLATION
Three;MEASURE
German;NATIONAL
uprising;EVENT
Sonderkommandos;ORGANISATION
250;MEASURE
Jewish Soviet POW;NATIONAL
German Army;INSTITUTION
August 1941;PERIOD
500,000;MEASURE
Jews;PERSON_TYPE
Soviet Army;ORGANISATION
World War II;EVENT
Jewish partisan;PERSON_TYPE
partisan;PERSON_TYPE
20,000 to 30,000;MEASURE
Jews;PERSON_TYPE
Soviet partisan movement;ORGANISATION
Nazis;PERSON_TYPE
Eastern Europe;LOCATION
Nazis;PERSON_TYPE
Lithuania;LOCATION
3,000;MEASURE
German;NATIONAL
1.4 million;MEASURE
Jewish;PERSON_TYPE
Allied;INSTITUTION
500,000;MEASURE
Red Army;INSTITUTION
550,000;MEASURE
U.S. Army;INSTITUTION
100,000;MEASURE
Polish army;INSTITUTION
30,000;MEASURE
British army;INSTITUTION
200,000;MEASURE
Jewish;PERSON_TYPE
Red Army;INSTITUTION
Jewish Brigade;ORGANISATION
5,000;MEASURE
Jewish;PERSON_TYPE
British Mandate of Palestine;LOCATION
British Army;INSTITUTION
German;CONCEPT
Jewish;PERSON_TYPE
Special Interrogation Group;ORGANISATION
Nazis;PERSON_TYPE
Western Desert Campaign;EVENT
occupied Poland and Soviet territories;LOCATION
thousands;MEASURE
Jews;PERSON_TYPE
partisans;PERSON_TYPE
partisan;PERSON_TYPE
Lithuania and Belarus;LOCATION
Jews;PERSON_TYPE
partisan;PERSON_TYPE
Jewish partisan;PERSON_TYPE
thousands;MEASURE
Jewish;PERSON_TYPE
Jewish;PERSON_TYPE
Budapest;LOCATION
Amsterdam;LOCATION
Netherlands;LOCATION
Jews;PERSON_TYPE
Dutch Resistance;ORGANISATION
Timothy Snyder;PERSON
Warsaw Uprising;EVENT
ghetto uprising of 1943;EVENT
Jews;PERSON_TYPE
Home Army;ORGANISATION
People's Army;ORGANISATION
antisemitic National Armed Forces;ORGANISATION
Jews;PERSON_TYPE
Poles;PERSON_TYPE
Jewish;PERSON_TYPE
Home Army and the People's Army;ORGANISATION
Jews;PERSON_TYPE
Warsaw Uprising of August 1944;EVENT
Warsaw Ghetto Uprising of April 1943;EVENT
partisans;PERSON_TYPE
Jewish;PERSON_TYPE
French Jews;PERSON_TYPE
French Resistance;ORGANISATION
Nazis and Vichy French;PERSON_TYPE
Allies;INSTITUTION
France;LOCATION
Allied;INSTITUTION
Free French forces;INSTITUTION
French;NATIONAL
Jews;PERSON_TYPE
one percent;MEASURE
French;NATIONAL
fifteen to twenty percent;MEASURE
French Resistance;ORGANISATION
Jewish;PERSON_TYPE
EEIF;ORGANISATION
Vichy regime;INSTITUTION
1943;PERIOD
Zionist Jews;PERSON_TYPE
Armee Juive (Jewish Army);ORGANISATION
Zionist;CONCEPTUAL
Jews;PERSON_TYPE
1944;PERIOD
liberation of Paris, Lyon, Toulouse, Grenoble, and Nice;EVENT
Jews;PERSON_TYPE
Jewish;PERSON_TYPE
Resistance;ORGANISATION
Pieter Meerburg;PERSON
SS;INSTITUTION
Jews;PERSON_TYPE
Warsaw Ghetto;LOCATION
1943;PERIOD
Jews;PERSON_TYPE
German;PERSON_TYPE
Nazis;PERSON_TYPE
Jewish;PERSON_TYPE
Reich Association of Jews (Reichsvereinigung der Juden);ORGANISATION
Germany;LOCATION
Jewish Councils (Judenräte);INSTITUTION
occupied Poland;LOCATION
Jewish;PERSON_TYPE
Holocaust;EVENT
Alexander Kimel;PERSON
Jewish;PERSON_TYPE
Europe;LOCATION
Warsaw Ghetto uprising;EVENT
Jewish;PERSON_TYPE
500,000;MEASURE
100,000;MEASURE
Jews;PERSON_TYPE
a millennium and a half;PERIOD
Jewish;PERSON_TYPE
German;PERSON_TYPE
Germans;PERSON_TYPE
Jews;PERSON_TYPE
East;LOCATION
Jews;PERSON_TYPE
railway stations at Auschwitz;INSTALLATION
Jan Karski;PERSON
Polish resistance;ORGANISATION
western Allies;INSTITUTION
Jewish Uprisings;EVENT
Nazi;PERSON_TYPE
Jewish resistance;ORGANISATION
Mordechaj Anielewicz;PERSON
Jewish Combat Organization;ORGANISATION
Warsaw Ghetto Uprising;EVENT
1943;PERIOD
Paweł Frenkiel;PERSON
Polish Jewish;PERSON_TYPE
Warsaw;LOCATION
senior commander of the Jewish Military Union;TITLE
JMU;ORGANISATION
Icchak Cukierman;PERSON
Warsaw Ghetto Uprising 1943;EVENT
1944 Warsaw Uprising;EVENT
Zivia Lubetkin;PERSON
Jewish underground;ORGANISATION
Nazi-occupied Warsaw;LOCATION
High Command of the resistance group Żydowska Organizacja Bojowa;ORGANISATION
Dov Lopatyn;PERSON
partisan;PERSON_TYPE
Abba Kovner;PERSON
United Partisan Organization in Vilna;ORGANISATION
FPO;ORGANISATION
Jewish;PERSON_TYPE
Nazi occupation;EVENT
Reinhard Heydrich;PERSON
Prague;LOCATION
June 1942;PERIOD
Czechoslovakia's army-in-exile;INSTITUTION
Operation Anthropoid;EVENT
head of the RSHA;TITLE
Ernst Kaltenbrunner;PERSON
Heydrich;PERSON
Kaltenbrunner;PERSON
Gestapo, Sicherheitsdienst;INSTITUTION
Final Solution;CONCEPT
1943 and 1944;PERIOD
hundreds of thousands;MEASURE
German;NATIONAL
spring of 1944;PERIOD
8,000;MEASURE
Auschwitz;INSTALLATION
Jewish;PERSON_TYPE
General Government;LOCATION
1943;PERIOD
100,000;MEASURE
Warsaw Ghetto;LOCATION
early 1943;PERIOD
Warsaw Ghetto Uprising;EVENT
About 42,000;MEASURE
Jews;PERSON_TYPE
Operation Harvest Festival on 3–4 November 1943;EVENT
western and southern Europe;LOCATION
Jews;PERSON_TYPE
occupied Soviet territories;LOCATION
Jews;PERSON_TYPE
SS;INSTITUTION
end of 1943;PERIOD
Germans;PERSON_TYPE
Soviet territory;LOCATION
Budapest, Hungary;LOCATION
Hungarian and German;NATIONAL
Jews;PERSON_TYPE
municipal theatre;INSTALLATION
October 1944;PERIOD
Budapest, Hungary;LOCATION
Jewish;PERSON_TYPE
Wesselényi Street;LOCATION
20–22 October 1944;PERIOD
Jews;PERSON_TYPE
German;NATIONAL
Battle of Stalingrad;EVENT
end of 1942;PERIOD
Allied;INSTITUTION
German;NATIONAL
Nazis;PERSON_TYPE
Jews;PERSON_TYPE
Army;INSTITUTION
Jewish;PERSON_TYPE
Nazi;PERSON_TYPE
SS;INSTITUTION
east;LOCATION
Jews;PERSON_TYPE
SS;INSTITUTION
1944;PERIOD
Germans;PERSON_TYPE
Nazi fanaticism;CONCEPT
Germany;LOCATION
Germany;LOCATION
Himmler;PERSON
SS;INSTITUTION
German Reich;INSTITUTION
Himmler;PERSON
Hitler;PERSON
October 1943;PERIOD
Himmler;PERSON
Nazi Party;INSTITUTION
Poznań;LOCATION
Jews;PERSON_TYPE
Jewish;PERSON_TYPE
Jewish;PERSON_TYPE
Jews;PERSON_TYPE
80 million;MEASURE
Germans;PERSON_TYPE
Jew;PERSON_TYPE
Jew;PERSON_TYPE
100;MEASURE
500;MEASURE
1,000;MEASURE
Jews;PERSON_TYPE
Jews;PERSON_TYPE
German nation;LOCATION
1916/17;PERIOD
earth;LOCATION
German;PERSON_TYPE
Heinrich Himmler;PERSON
SS Officers;TITLE
Poznan;LOCATION
10 June 1943;PERIOD
Jewish;PERSON_TYPE
Carpatho-Ruthenia;LOCATION
Auschwitz death camp;INSTALLATION
May/June 1944;PERIOD
Admiral Karl Dönitz and Armaments Minister Albert Speer;PERSON
Dönitz;PERSON
Nuremberg trials;EVENT
Final Solution;CONCEPT
Speer;PERSON
post-war;PERIOD
1944;PERIOD
occupied Poland;LOCATION
19 March 1944;PERIOD
Hitler;PERSON
Hungary;LOCATION
Eichmann;PERSON
Budapest;LOCATION
Hungary;LOCATION
800,000;MEASURE
Jews;PERSON_TYPE
Hungary;LOCATION
Jewish;PERSON_TYPE
Jewish;PERSON_TYPE
Hungary;LOCATION
More than half;MEASURE
Auschwitz;INSTALLATION
commandant, Rudolf Höss;PERSON
400,000;MEASURE
Hungarian Jews;PERSON_TYPE
three months;PERIOD
Blood for goods;CONCEPT
Hungarian Jews;PERSON_TYPE
Nazi;PERSON_TYPE
Hitler;PERSON
Allies;INSTITUTION
Istanbul;LOCATION
Himmler;PERSON
British;NATIONAL
Jewish;PERSON_TYPE
Eichmann;PERSON
one million;MEASURE
Jews;PERSON_TYPE
10,000;MEASURE
blood for goods;CONCEPT
Eichman's trial in Jerusalem;EVENT
Allies;INSTITUTION
April–June 1944;PERIOD
Bratislava;LOCATION
June–July 1944;PERIOD
Rudolf Vrba;PERSON
Auschwitz;INSTALLATION
April 7, 1944;PERIOD
Arnost Rosin;PERSON
27 May 1944;PERIOD
The Mass Extermination of Jews in German Occupied Poland;CREATION
Polish government-in-exile;INSTITUTION
United Nations;ORGANISATION
1942;PERIOD
Auschwitz ""Camp of death"";CREATION
Natalia Zarembina;PERSON
1942;PERIOD
1940;PERIOD
Auschwitz commandant;TITLE
Polish;NATIONAL
SS;INSTITUTION
first;MEASURE
Polish;NATIONAL
Ruth Linn;PERSON
Jewish;PERSON_TYPE
Polish underground;ORGANISATION
February 1942;PERIOD
Chełmno extermination camp;INSTALLATION
Jacob Grojanowski;PERSON
Warsaw Ghetto;LOCATION
Chełmno camp;INSTALLATION
Oneg Shabbat;ORGANISATION
Grojanowski Report;CREATION
Polish underground;ORGANISATION
Delegatura;INSTITUTION
London;LOCATION
June 1942;PERIOD
1 February;PERIOD
United States Office of War Information;INSTITUTION
Jews;PERSON_TYPE
Jewish;PERSON_TYPE
9 October 1942;PERIOD
British;NATIONAL
Jews;PERSON_TYPE
Netherlands;LOCATION
December 1942;PERIOD
western Allies;INSTITUTION
Joint Declaration by Members of the United Nations;EVENT
Hitler;PERSON
Jewish;PERSON_TYPE
Europe;LOCATION
1942;PERIOD
Jan Karski;PERSON
Polish, British and US governments;INSTITUTION
Poland;LOCATION
destruction of the Warsaw Ghetto and the Holocaust of the Jews;EVENT
Polish;NATIONAL
prime minister;TITLE
Socialist Party, National Party, Labor Party, People's Party, Jewish Bund and Poalei Zion;ORGANISATION
Anthony Eden, the British foreign secretary;PERSON
Warsaw and Bełżec;LOCATION
1943;PERIOD
London;LOCATION
Arthur Koestler;PERSON
United States;LOCATION
president Franklin D. Roosevelt;PERSON
West;LOCATION
July 1943;PERIOD
Karski;PERSON
Roosevelt;PERSON
Poland;LOCATION
first;MEASURE
Jewish Holocaust;EVENT
Roosevelt;PERSON
Poland;LOCATION
Jews;PERSON_TYPE
United States;LOCATION
Felix Frankfurter, Cordell Hull, William Joseph Donovan, and Stephen Wise;PERSON
Karski;PERSON
Cardinal Samuel Stritch;PERSON
Hollywood;LOCATION
Polish government in exile;INSTITUTION
Jews;PERSON_TYPE
Dutch resistance;ORGANISATION
Het Parool;MEDIA
27 September 1943;PERIOD
Dutch resistance;ORGANISATION
Jews;PERSON_TYPE
Auschwitz concentration camp;INSTALLATION
Pilecki;PERSON
1941;PERIOD
September 1940;PERIOD
Captain Witold Pilecki;PERSON
Polish underground;ORGANISATION
Polish Home Army;ORGANISATION
Auschwitz;INSTALLATION
Auschwitz;INSTALLATION
Związek Organizacji Wojskowej;ORGANISATION
Union of Military Organizations;ORGANISATION
UMO;ORGANISATION
Auschwitz;INSTALLATION
Western Allies;INSTITUTION
Pilecki;PERSON
Auschwitz;INSTALLATION
two;MEASURE
August 1943;PERIOD
Office of Strategic Services (OSS);INSTITUTION
London;LOCATION
three;MEASURE
Birkenau;INSTALLATION
10,000;MEASURE
30,000;MEASURE
one;MEASURE
Pilecki;PERSON
Poland;LOCATION
communist;PERSON_TYPE
Polish government in exile;INSTITUTION
25 May 1948;PERIOD
Pilecki;PERSON
Auschwitz;INSTALLATION
20 June 1942;PERIOD
Ukrainian Eugeniusz Bendera;PERSON
three;MEASURE
Poles;PERSON_TYPE
Kazimierz Piechowski, Stanisław Gustaw Jaster and Józef Lempart;PERSON
SS-Totenkopfverbände;INSTITUTION
SS;INSTITUTION
Steyr 220;ARTIFACT
first;MEASURE
Witold Pilecki;PERSON
Polish resistance;ORGANISATION
Holocaust;EVENT
Germans;PERSON_TYPE
Rudolf Vrba and Alfred Wetzler;PERSON
Jewish;PERSON_TYPE
Auschwitz;INSTALLATION
April 1944;PERIOD
Slovakia;LOCATION
32;MEASURE
Jewish;PERSON_TYPE
Auschwitz;INSTALLATION
Vrba-Wetzler report;CREATION
Vrba;PERSON
Judenrampe;INSTALLATION
Jews;PERSON_TYPE
Slovakian;NATIONAL
Allies;INSTITUTION
Two;MEASURE
Auschwitz;INSTALLATION
Arnost Rosin and Czesław Mordowicz;PERSON
27 May 1944;PERIOD
Slovakia;LOCATION
6 June;PERIOD
Normandy landing (D-Day);EVENT
Normandy;EVENT
eight days;PERIOD
Judenrat;INSTITUTION
Judenrat;INSTITUTION
Vrba and Wetzler's report;CREATION
Auschwitz Protocols;CREATION
between 15 and 27 May 1944;PERIOD
100,000;MEASURE
Hungarian Jews;PERSON_TYPE
Birkenau;INSTALLATION
BBC and The New York Times;MEDIA
Vrba-Wetzler report;CREATION
15 June, 20 June, 3 July and 6 July 1944;PERIOD
Miklós Horthy;PERSON
Jews;PERSON_TYPE
Hungary to Auschwitz;LOCATION
9 July;PERIOD
200,000;MEASURE
Jews;PERSON_TYPE
14 November 2001;PERIOD
150th;MEASURE
The New York Times;MEDIA
Max Frankel;PERSON
World War II;EVENT
Times;MEDIA
Holocaust;EVENT
Times;MEDIA
Laurel Leff;PERSON
the year before;PERIOD
Harvard International Journal of the Press and Politics;MEDIA
The New York Times;MEDIA
Third Reich;INSTITUTION
Jews;PERSON_TYPE
Leff;PERSON
New York Times;MEDIA
American Jews;PERSON_TYPE
Congress;INSTITUTION
Europe's Jews;PERSON_TYPE
The New York Times;MEDIA
Holocaust;EVENT
Death marches (1944–1945);EVENT
Death marches;EVENT
Holocaust;EVENT
Grave and Memorial in Wodzisław;INSTALLATION
Death march from Auschwitz Birkenau to Wodzisław Śląski;EVENT
mid-1944;PERIOD
Final Solution;CONCEPT
Jewish;PERSON_TYPE
Nazi regime;INSTITUTION
25 percent;MEASURE
France;LOCATION
more than 90 percent;MEASURE
Poland;LOCATION
5 May;PERIOD
Himmler;PERSON
Jewish question;CONCEPT
Germany;LOCATION
Germany;LOCATION
1944;PERIOD
German armies;INSTITUTION
Soviet Union, the Balkans and Italy;LOCATION
German;NATIONAL
Allies;INSTITUTION
June;PERIOD
western Allies;INSTITUTION
France;LOCATION
Allied;INSTITUTION
partisans;PERSON_TYPE
Jews;PERSON_TYPE
Poland;LOCATION
Soviet armed forces;INSTITUTION
eastern Poland;LOCATION
Germany;LOCATION
Auschwitz;INSTALLATION
Gross Rosen in Silesia;INSTALLATION
Auschwitz;INSTALLATION
Soviets;PERSON_TYPE
Poland;LOCATION
13;MEASURE
Auschwitz II;INSTALLATION
25 November 1944;PERIOD
Polish;NATIONAL
Jews;PERSON_TYPE
death marches;EVENT
last weeks of the war;PERIOD
months or years;PERIOD
tens of miles;MEASURE
days;PERIOD
250,000;MEASURE
Jews;PERSON_TYPE
death marches;EVENT
January 1945;PERIOD
Soviet army;INSTITUTION
Poland;LOCATION
Nine days;PERIOD
Soviets;PERSON_TYPE
Auschwitz;INSTALLATION
SS;INSTITUTION
60,000;MEASURE
Wodzisław;LOCATION
German;CONCEPT
Loslau;LOCATION
56 km (35 mi);MEASURE
15,000;MEASURE
Elie Wiesel;PERSON
Battle of Berlin, Death of Adolf Hitler, Prague Offensive, and Victory in Europe Day;EVENT
Bergen-Belsen;INSTALLATION
first;MEASURE
Allied;INSTITUTION
Majdanek;INSTALLATION
Soviets;PERSON_TYPE
23 July 1944;PERIOD
Chełmno;INSTALLATION
Soviets;PERSON_TYPE
20 January 1945;PERIOD
Auschwitz;INSTALLATION
Soviets;PERSON_TYPE
27 January 1945;PERIOD
Buchenwald;INSTALLATION
Americans;PERSON_TYPE
11 April;PERIOD
Bergen-Belsen;INSTALLATION
British;PERSON_TYPE
15 April;PERIOD
Dachau;INSTALLATION
Americans;PERSON_TYPE
29 April;PERIOD
Ravensbrück;INSTALLATION
Soviets;PERSON_TYPE
Mauthausen;INSTALLATION
Americans;PERSON_TYPE
5 May;PERIOD
Theresienstadt;INSTALLATION
Soviets;PERSON_TYPE
8 May;PERIOD
Treblinka, Sobibór, and Bełżec;INSTALLATION
Nazis;PERSON_TYPE
1943;PERIOD
Colonel William W. Quinn;PERSON
US Seventh Army;INSTITUTION
Dachau;INSTALLATION
Mauthausen camp;INSTALLATION
5 May 1945;PERIOD
Soviets;PERSON_TYPE
a few thousand;MEASURE
7,600;MEASURE
Auschwitz;INSTALLATION
180;MEASURE
60,000;MEASURE
Bergen-Belsen;INSTALLATION
British 11th Armoured Division;INSTITUTION
13,000;MEASURE
10,000;MEASURE
British;PERSON_TYPE
SS;INSTITUTION
BBC;MEDIA
Richard Dimbleby;PERSON
British Army;INSTITUTION
Belsen;INSTALLATION
an acre;MEASURE
British;NATIONAL
days;PERIOD
Belsen;INSTALLATION
European Jews;PERSON_TYPE
Jews;PERSON_TYPE
Holocaust;EVENT
Holocaust;EVENT
Donald Niewyk and Francis Nicosia;PERSON
more than five million;MEASURE
European Jews;PERSON_TYPE
British;NATIONAL
Martin Gilbert;PERSON
six million—around 78 percent of the 7.3 million;MEASURE
Jews;PERSON_TYPE
occupied Europe;LOCATION
Timothy D. Snyder;PERSON
Holocaust;CONCEPT
two;MEASURE
German;NATIONAL
Jews;PERSON_TYPE
Nazi regime;INSTITUTION
two to three million;MEASURE
Soviet POWs;PERSON_TYPE
Nazi;PERSON_TYPE
two million;MEASURE
Jewish;PERSON_TYPE
Poles;PERSON_TYPE
Nazi occupation;EVENT
90,000-220,000;MEASURE
Romani;PERSON_TYPE
270,000;MEASURE
Germany's eugenics program;UNKNOWN
80,000–200,000;MEASURE
Freemasons;PERSON_TYPE
20,000–25,000;MEASURE
Slovenes;PERSON_TYPE
5,000–15,000;MEASURE
homosexuals;PERSON_TYPE
2,500–5,000;MEASURE
Jehovah's Witnesses;PERSON_TYPE
7,000;MEASURE
Spanish Republicans;PERSON_TYPE
11 million;MEASURE
six million;MEASURE
Soviet;PERSON_TYPE
17 million;MEASURE
United States Holocaust Memorial Museum;INSTALLATION
15 to 20 million;MEASURE
R.J. Rummel;PERSON
Nazi Germany;LOCATION
21 million;MEASURE
Jewish;PERSON_TYPE
Jewish;PERSON_TYPE
Europe;LOCATION
Jewish;PERSON_TYPE
Since 1945;PERIOD
Jews;PERSON_TYPE
six million;MEASURE
